categoria,cantidad,unidad
Pan,6750,g
Galletitas saladas,420,g
Galletitas dulces,210,g
Arroz,1200,g
Harina,1290,g
Fideos,1740,g
Papa y tuberculos,7020,g
Azucar,1230,g
Dulces y mermeladas,330,g
Legumbres,240,g
Verduras,5730,g
Frutas,4950,g
Carne vacuna,2090,g
Pollo,2090,g
Pescado,2090,g
Fiambres,60,g
Huevos,600,g
Leche fluida,9270,g
Quesos,330,g
Yogur,570,g
Manteca y margarina,60,g
Aceite,1200,g
Gaseosas,1150,cc
Aguas,1150,cc
Jugos,1150,cc
Cerveza,540,cc
Vinos y licores,540,cc
Sal,120,g
Otros condimentos,120,g
Vinagre,60,g
Cafe,30,g
Yerba mate,510,g
